Timestamp,Milisecond,Bus Voltage,Load Voltage,Current(mA),Power(mW),Diff
1630653044217,217,-1,-1,-1,2674,d0
1630653044250,250,-1,-1,-1,2690,d0
1630653044250,250,-1,-1,-1,2668,d0
1630653044250,250,-1,-1,-1,2688,d0
1630653044250,250,-1,-1,-1,2606,d0
1630653044250,250,-1,-1,-1,2714,d0
1630653044250,250,-1,-1,-1,2678,d0
1630653044250,250,-1,-1,-1,2884,d0
1630653044251,251,-1,-1,-1,2700,d0
1630653044251,251,-1,-1,-1,2704,d0
1630653044251,251,-1,-1,-1,2670,d0
1630653044251,251,-1,-1,-1,2690,d0
1630653044251,251,-1,-1,-1,2700,d0
1630653044252,252,-1,-1,-1,2578,d0
1630653044252,252,-1,-1,-1,2670,d0
1630653044252,252,-1,-1,-1,2696,d0
1630653044253,253,-1,-1,-1,2696,d0
1630653044253,253,-1,-1,-1,2690,d0
1630653044265,265,-1,-1,-1,2694,d0
1630653044266,266,-1,-1,-1,2704,d0
1630653044266,266,-1,-1,-1,2700,d0
1630653044266,266,-1,-1,-1,2678,d0
1630653044266,266,-1,-1,-1,2624,d0
1630653044266,266,-1,-1,-1,2690,d0
1630653044267,267,-1,-1,-1,2670,d0
1630653044297,297,-1,-1,-1,2680,d0
1630653044297,297,-1,-1,-1,2696,d0
1630653044298,298,-1,-1,-1,2950,d0
1630653044298,298,-1,-1,-1,2684,d0
1630653044298,298,-1,-1,-1,2704,d0
1630653044298,298,-1,-1,-1,2700,d0
1630653044298,298,-1,-1,-1,2678,d0
1630653044299,299,-1,-1,-1,2688,d0
1630653044299,299,-1,-1,-1,2684,d0
1630653044299,299,-1,-1,-1,2694,d0
1630653044299,299,-1,-1,-1,2684,d0
1630653044299,299,-1,-1,-1,2694,d0
1630653044299,299,-1,-1,-1,2690,d0
1630653044300,300,-1,-1,-1,2726,d0
1630653044301,301,-1,-1,-1,2690,d0
1630653044301,301,-1,-1,-1,2720,d0
1630653044301,301,-1,-1,-1,2694,d0
1630653044314,314,-1,-1,-1,2674,d0
1630653044314,314,-1,-1,-1,2704,d0
1630653044314,314,-1,-1,-1,2684,d0
1630653044314,314,-1,-1,-1,2680,d0
1630653044338,338,-1,-1,-1,2700,d0
1630653044338,338,-1,-1,-1,2642,d0
1630653044338,338,-1,-1,-1,2680,d0
1630653044338,338,-1,-1,-1,2690,d0
1630653044338,338,-1,-1,-1,2710,d0
1630653044338,338,-1,-1,-1,2706,d0
1630653044338,338,-1,-1,-1,2668,d0
1630653044339,339,-1,-1,-1,2688,d0
1630653044339,339,-1,-1,-1,2694,d0
1630653044339,339,-1,-1,-1,2678,d0
1630653044339,339,-1,-1,-1,2678,d0
1630653044339,339,-1,-1,-1,2704,d0
1630653044341,341,-1,-1,-1,2688,d0
1630653044341,341,-1,-1,-1,2710,d0
1630653044341,341,-1,-1,-1,2804,d0
1630653044341,341,-1,-1,-1,2706,d0
1630653044341,341,-1,-1,-1,2716,d0
1630653044355,355,-1,-1,-1,2680,d0
1630653044355,355,-1,-1,-1,2684,d0
1630653044355,355,-1,-1,-1,2588,d0
1630653044355,355,-1,-1,-1,2670,d0
1630653044377,377,-1,-1,-1,2720,d0
1630653044378,378,-1,-1,-1,2694,d0
1630653044378,378,-1,-1,-1,2678,d0
1630653044378,378,-1,-1,-1,2966,d0
1630653044378,378,-1,-1,-1,2700,d0
1630653044378,378,-1,-1,-1,2684,d0
1630653044378,378,-1,-1,-1,2684,d0
1630653044378,378,-1,-1,-1,2614,d0
1630653044378,378,-1,-1,-1,2696,d0
1630653044378,378,-1,-1,-1,2710,d0
1630653044378,378,-1,-1,-1,2690,d0
1630653044378,378,-1,-1,-1,2704,d0
1630653044378,378,-1,-1,-1,2688,d0
1630653044379,379,-1,-1,-1,2674,d0
1630653044380,380,-1,-1,-1,2658,d0
1630653044380,380,-1,-1,-1,2704,d0
1630653044380,380,-1,-1,-1,2658,d0
1630653044396,396,-1,-1,-1,2680,d0
1630653044396,396,-1,-1,-1,2688,d0
1630653044397,397,-1,-1,-1,2664,d0
1630653044397,397,-1,-1,-1,2684,d0
1630653044397,397,-1,-1,-1,2696,d0
1630653044397,397,-1,-1,-1,2700,d0
1630653044397,397,-1,-1,-1,2670,d0
1630653044397,397,-1,-1,-1,2668,d0
1630653044397,397,-1,-1,-1,2736,d0
1630653044426,426,-1,-1,-1,2700,d0
1630653044427,427,-1,-1,-1,2674,d0
1630653044427,427,-1,-1,-1,2704,d0
1630653044427,427,-1,-1,-1,2696,d0
1630653044427,427,-1,-1,-1,2684,d0
1630653044427,427,-1,-1,-1,2678,d0
1630653044428,428,-1,-1,-1,2696,d0
1630653044428,428,-1,-1,-1,2680,d0
1630653044428,428,-1,-1,-1,2688,d0
1630653044428,428,-1,-1,-1,2668,d0
1630653044428,428,-1,-1,-1,2700,d0
1630653044428,428,-1,-1,-1,2670,d0
1630653044429,429,-1,-1,-1,2674,d0
1630653044429,429,-1,-1,-1,2700,d0
1630653044429,429,-1,-1,-1,2680,d0
1630653044429,429,-1,-1,-1,2678,d0
1630653044429,429,-1,-1,-1,2598,d0
1630653044437,437,-1,-1,-1,2696,d0
1630653044438,438,-1,-1,-1,2668,d0
1630653044438,438,-1,-1,-1,2710,d0
1630653044438,438,-1,-1,-1,2968,d0
1630653044469,469,-1,-1,-1,2678,d0
1630653044469,469,-1,-1,-1,2670,d0
1630653044469,469,-1,-1,-1,2706,d0
1630653044469,469,-1,-1,-1,2586,d0
1630653044470,470,-1,-1,-1,2680,d0
1630653044470,470,-1,-1,-1,2670,d0
1630653044470,470,-1,-1,-1,2696,d0
1630653044470,470,-1,-1,-1,2678,d0
1630653044470,470,-1,-1,-1,2674,d0
1630653044470,470,-1,-1,-1,2688,d0
1630653044470,470,-1,-1,-1,2986,d0
1630653044471,471,-1,-1,-1,2664,d0
1630653044471,471,-1,-1,-1,2678,d0
1630653044471,471,-1,-1,-1,2714,d0
1630653044471,471,-1,-1,-1,2684,d0
1630653044471,471,-1,-1,-1,2706,d0
1630653044471,471,-1,-1,-1,2680,d0
1630653044484,484,-1,-1,-1,2706,d0
1630653044484,484,-1,-1,-1,2674,d0
1630653044484,484,-1,-1,-1,2678,d0
1630653044484,484,-1,-1,-1,2706,d0
1630653044484,484,-1,-1,-1,2768,d0
1630653044484,484,-1,-1,-1,2674,d0
1630653044485,485,-1,-1,-1,2996,d0
1630653044485,485,-1,-1,-1,2966,d0
1630653044485,485,-1,-1,-1,2956,d0
1630653044485,485,-1,-1,-1,2962,d0
1630653044518,518,-1,-1,-1,2942,d0
1630653044518,518,-1,-1,-1,2942,d0
1630653044519,519,-1,-1,-1,2922,d0
1630653044519,519,-1,-1,-1,3322,d0
1630653044519,519,-1,-1,-1,3114,d0
1630653044519,519,-1,-1,-1,2952,d0
1630653044519,519,-1,-1,-1,2960,d0
1630653044519,519,-1,-1,-1,2940,d0
1630653044519,519,-1,-1,-1,3214,d0
1630653044519,519,-1,-1,-1,2900,d0
1630653044519,519,-1,-1,-1,3584,d0
1630653044519,519,-1,-1,-1,2942,d0
1630653044519,519,-1,-1,-1,2992,d0
1630653044520,520,-1,-1,-1,2992,d0
1630653044520,520,-1,-1,-1,2972,d0
1630653044521,521,-1,-1,-1,3126,d0
1630653044521,521,-1,-1,-1,2950,d0
1630653044530,530,-1,-1,-1,3040,d0
1630653044530,530,-1,-1,-1,3034,d0
1630653044555,555,-1,-1,-1,3008,d0
1630653044555,555,-1,-1,-1,3166,d0
1630653044555,555,-1,-1,-1,2996,d0
1630653044556,556,-1,-1,-1,2978,d0
1630653044556,556,-1,-1,-1,2972,d0
1630653044556,556,-1,-1,-1,3028,d0
1630653044556,556,-1,-1,-1,3044,d0
1630653044556,556,-1,-1,-1,2966,d0
1630653044556,556,-1,-1,-1,3008,d0
1630653044556,556,-1,-1,-1,2906,d0
1630653044556,556,-1,-1,-1,2972,d0
1630653044556,556,-1,-1,-1,3048,d0
1630653044556,556,-1,-1,-1,3202,d0
1630653044556,556,-1,-1,-1,2998,d0
1630653044556,556,-1,-1,-1,2978,d0
1630653044556,556,-1,-1,-1,2972,d0
1630653044557,557,-1,-1,-1,2950,d0
1630653044566,566,-1,-1,-1,3038,d0
1630653044566,566,-1,-1,-1,2966,d0
1630653044566,566,-1,-1,-1,3076,d0
1630653044566,566,-1,-1,-1,2694,d0
1630653044596,596,-1,-1,-1,2740,d0
1630653044596,596,-1,-1,-1,2766,d0
1630653044597,597,-1,-1,-1,2900,d0
1630653044597,597,-1,-1,-1,2716,d0
1630653044597,597,-1,-1,-1,2716,d0
1630653044597,597,-1,-1,-1,2884,d0
1630653044597,597,-1,-1,-1,2696,d0
1630653044597,597,-1,-1,-1,2704,d0
1630653044597,597,-1,-1,-1,2714,d0
1630653044597,597,-1,-1,-1,2688,d0
1630653044597,597,-1,-1,-1,2690,d0
1630653044597,597,-1,-1,-1,2838,d0
1630653044597,597,-1,-1,-1,2700,d0
1630653044597,597,-1,-1,-1,2694,d0
1630653044597,597,-1,-1,-1,2700,d0
1630653044597,597,-1,-1,-1,2700,d0
1630653044597,597,-1,-1,-1,2904,d0
1630653044608,608,-1,-1,-1,2690,d0
1630653044608,608,-1,-1,-1,2680,d0
1630653044608,608,-1,-1,-1,2688,d0
1630653044636,636,-1,-1,-1,2670,d0
1630653044636,636,-1,-1,-1,2716,d0
1630653044636,636,-1,-1,-1,2660,d0
1630653044637,637,-1,-1,-1,2680,d0
1630653044637,637,-1,-1,-1,2690,d0
1630653044637,637,-1,-1,-1,2690,d0
1630653044637,637,-1,-1,-1,2680,d0
1630653044637,637,-1,-1,-1,2720,d0
1630653044637,637,-1,-1,-1,2704,d0
1630653044637,637,-1,-1,-1,2680,d0
1630653044638,638,-1,-1,-1,2688,d0
1630653044638,638,-1,-1,-1,2696,d0
1630653044638,638,-1,-1,-1,2700,d0
1630653044638,638,-1,-1,-1,2688,d0
1630653044638,638,-1,-1,-1,2798,d0
1630653044638,638,-1,-1,-1,2696,d0
1630653044638,638,-1,-1,-1,2724,d0
1630653044649,649,-1,-1,-1,2726,d0
1630653044649,649,-1,-1,-1,2678,d0
1630653044650,650,-1,-1,-1,2694,d0
1630653044650,650,-1,-1,-1,2690,d0
1630653044689,689,-1,-1,-1,2678,d0
1630653044689,689,-1,-1,-1,2706,d0
1630653044690,690,-1,-1,-1,2674,d0
1630653044690,690,-1,-1,-1,2972,d0
1630653044690,690,-1,-1,-1,2690,d0
1630653044690,690,-1,-1,-1,2694,d0
1630653044690,690,-1,-1,-1,2668,d0
1630653044690,690,-1,-1,-1,2638,d0
1630653044690,690,-1,-1,-1,2714,d0
1630653044690,690,-1,-1,-1,2684,d0
1630653044691,691,-1,-1,-1,2670,d0
1630653044691,691,-1,-1,-1,2724,d0
1630653044691,691,-1,-1,-1,2704,d0
1630653044691,691,-1,-1,-1,2670,d0
1630653044691,691,-1,-1,-1,2678,d0
1630653044691,691,-1,-1,-1,2704,d0
1630653044691,691,-1,-1,-1,2704,d0
1630653044703,703,-1,-1,-1,2674,d0
1630653044703,703,-1,-1,-1,2688,d0
1630653044703,703,-1,-1,-1,2832,d0
1630653044703,703,-1,-1,-1,2678,d0
1630653044703,703,-1,-1,-1,2684,d0
1630653044703,703,-1,-1,-1,2724,d0
1630653044704,704,-1,-1,-1,2696,d0
1630653044704,704,-1,-1,-1,2694,d0
1630653044704,704,-1,-1,-1,2906,d0
1630653044731,731,-1,-1,-1,2700,d0
1630653044731,731,-1,-1,-1,2678,d0
1630653044731,731,-1,-1,-1,2700,d0
1630653044731,731,-1,-1,-1,2704,d0
1630653044732,732,-1,-1,-1,2678,d0
1630653044732,732,-1,-1,-1,2678,d0
1630653044732,732,-1,-1,-1,2694,d0
1630653044732,732,-1,-1,-1,2632,d0
1630653044732,732,-1,-1,-1,2674,d0
1630653044732,732,-1,-1,-1,2674,d0
1630653044733,733,-1,-1,-1,2992,d0
1630653044733,733,-1,-1,-1,2716,d0
1630653044733,733,-1,-1,-1,2670,d0
1630653044733,733,-1,-1,-1,2716,d0
1630653044733,733,-1,-1,-1,2696,d0
1630653044733,733,-1,-1,-1,2674,d0
1630653044733,733,-1,-1,-1,2588,d0
1630653044746,746,-1,-1,-1,2700,d0
1630653044746,746,-1,-1,-1,2678,d0
1630653044746,746,-1,-1,-1,2696,d0
1630653044746,746,-1,-1,-1,2690,d0
1630653044746,746,-1,-1,-1,2760,d0
1630653044746,746,-1,-1,-1,2714,d0
1630653044746,746,-1,-1,-1,2696,d0
1630653044746,746,-1,-1,-1,2706,d0
1630653044746,746,-1,-1,-1,2602,d0
1630653044746,746,-1,-1,-1,2668,d0
1630653044785,785,-1,-1,-1,2696,d0
1630653044785,785,-1,-1,-1,2684,d0
1630653044785,785,-1,-1,-1,2670,d0
1630653044785,785,-1,-1,-1,2684,d0
1630653044785,785,-1,-1,-1,2992,d0
1630653044786,786,-1,-1,-1,2694,d0
1630653044786,786,-1,-1,-1,2674,d0
1630653044786,786,-1,-1,-1,2704,d0
1630653044786,786,-1,-1,-1,2690,d0
1630653044786,786,-1,-1,-1,2674,d0
1630653044786,786,-1,-1,-1,2670,d0
1630653044786,786,-1,-1,-1,2724,d0
1630653044787,787,-1,-1,-1,2674,d0
1630653044787,787,-1,-1,-1,2684,d0
1630653044787,787,-1,-1,-1,2688,d0
1630653044787,787,-1,-1,-1,2700,d0
1630653044787,787,-1,-1,-1,2680,d0
1630653044799,799,-1,-1,-1,2932,d0
1630653044800,800,-1,-1,-1,2726,d0
1630653044800,800,-1,-1,-1,2972,d0
1630653044800,800,-1,-1,-1,2694,d0
1630653044800,800,-1,-1,-1,2704,d0
1630653044800,800,-1,-1,-1,2870,d0
1630653044800,800,-1,-1,-1,2690,d0
1630653044800,800,-1,-1,-1,2706,d0
1630653044800,800,-1,-1,-1,2726,d0
1630653044832,832,-1,-1,-1,2704,d0
1630653044832,832,-1,-1,-1,2694,d0
1630653044832,832,-1,-1,-1,2720,d0
1630653044832,832,-1,-1,-1,2706,d0
1630653044832,832,-1,-1,-1,2668,d0
1630653044832,832,-1,-1,-1,2710,d0
1630653044832,832,-1,-1,-1,2724,d0
1630653044832,832,-1,-1,-1,2684,d0
1630653044832,832,-1,-1,-1,2700,d0
1630653044833,833,-1,-1,-1,2716,d0
1630653044833,833,-1,-1,-1,2716,d0
1630653044833,833,-1,-1,-1,2986,d0
1630653044833,833,-1,-1,-1,2732,d0
1630653044833,833,-1,-1,-1,2720,d0
1630653044833,833,-1,-1,-1,2700,d0
1630653044833,833,-1,-1,-1,2690,d0
1630653044834,834,-1,-1,-1,2710,d0
1630653044846,846,-1,-1,-1,2726,d0
1630653044846,846,-1,-1,-1,2680,d0
1630653044846,846,-1,-1,-1,2688,d0
1630653044847,847,-1,-1,-1,2730,d0
1630653044847,847,-1,-1,-1,2818,d0
1630653044847,847,-1,-1,-1,2786,d0
1630653044848,848,-1,-1,-1,2710,d0
1630653044848,848,-1,-1,-1,2706,d0
1630653044848,848,-1,-1,-1,2674,d0
1630653044880,880,-1,-1,-1,2674,d0
1630653044880,880,-1,-1,-1,2700,d0
1630653044880,880,-1,-1,-1,2694,d0
1630653044880,880,-1,-1,-1,2680,d0
1630653044880,880,-1,-1,-1,2700,d0
1630653044880,880,-1,-1,-1,2704,d0
1630653044880,880,-1,-1,-1,2950,d0
1630653044880,880,-1,-1,-1,2642,d0
1630653044880,880,-1,-1,-1,2694,d0
1630653044880,880,-1,-1,-1,2670,d0
1630653044880,880,-1,-1,-1,2674,d0
1630653044881,881,-1,-1,-1,2684,d0
1630653044881,881,-1,-1,-1,2710,d0
1630653044881,881,-1,-1,-1,2688,d0
1630653044881,881,-1,-1,-1,2690,d0
1630653044881,881,-1,-1,-1,2696,d0
1630653044882,882,-1,-1,-1,2706,d0
1630653044900,900,-1,-1,-1,2648,d0
1630653044900,900,-1,-1,-1,2706,d0
1630653044900,900,-1,-1,-1,2694,d0
1630653044900,900,-1,-1,-1,2680,d0
1630653044900,900,-1,-1,-1,2684,d0
1630653044900,900,-1,-1,-1,2704,d0
1630653044900,900,-1,-1,-1,2776,d0
1630653044900,900,-1,-1,-1,2674,d0
1630653044900,900,-1,-1,-1,2680,d0
1630653044900,900,-1,-1,-1,2706,d0
1630653044938,938,-1,-1,-1,2674,d0
1630653044938,938,-1,-1,-1,2732,d0
1630653044938,938,-1,-1,-1,2720,d0
1630653044938,938,-1,-1,-1,2674,d0
1630653044938,938,-1,-1,-1,2680,d0
1630653044939,939,-1,-1,-1,2714,d0
1630653044939,939,-1,-1,-1,2624,d0
1630653044939,939,-1,-1,-1,2668,d0
1630653044939,939,-1,-1,-1,2688,d0
1630653044939,939,-1,-1,-1,2706,d0
1630653044939,939,-1,-1,-1,2690,d0
1630653044939,939,-1,-1,-1,2668,d0
1630653044939,939,-1,-1,-1,3022,d0
1630653044939,939,-1,-1,-1,2688,d0
1630653044939,939,-1,-1,-1,2684,d0
1630653044939,939,-1,-1,-1,2570,d0
1630653044939,939,-1,-1,-1,2696,d0
1630653044951,951,-1,-1,-1,2674,d0
1630653044951,951,-1,-1,-1,2674,d0
1630653044951,951,-1,-1,-1,2704,d0
1630653044951,951,-1,-1,-1,2704,d0
1630653044951,951,-1,-1,-1,2668,d0
1630653044951,951,-1,-1,-1,2696,d0
1630653044951,951,-1,-1,-1,2768,d0
1630653044951,951,-1,-1,-1,2612,d0
1630653044985,985,-1,-1,-1,2670,d0
1630653044985,985,-1,-1,-1,2706,d0
1630653044985,985,-1,-1,-1,2684,d0
1630653044985,985,-1,-1,-1,2674,d0
1630653044985,985,-1,-1,-1,2684,d0
1630653044986,986,-1,-1,-1,2706,d0
1630653044986,986,-1,-1,-1,2674,d0
1630653044986,986,-1,-1,-1,2624,d0
1630653044986,986,-1,-1,-1,2704,d0
1630653044986,986,-1,-1,-1,2710,d0
1630653044986,986,-1,-1,-1,2678,d0
1630653044986,986,-1,-1,-1,2694,d0
1630653044986,986,-1,-1,-1,2696,d0
1630653044986,986,-1,-1,-1,2670,d0
1630653044986,986,-1,-1,-1,2688,d0
1630653044986,986,-1,-1,-1,2704,d0
1630653044986,986,-1,-1,-1,2688,d0
1630653045005,5,-1,-1,-1,2678,d0
1630653045005,5,-1,-1,-1,2696,d0
1630653045005,5,-1,-1,-1,2730,d0
1630653045005,5,-1,-1,-1,2674,d0
1630653045005,5,-1,-1,-1,2674,d0
1630653045005,5,-1,-1,-1,2680,d0
1630653045005,5,-1,-1,-1,2742,d0
1630653045005,5,-1,-1,-1,2788,d0
1630653045005,5,-1,-1,-1,2678,d0
1630653045027,27,-1,-1,-1,2714,d0
1630653045027,27,-1,-1,-1,3050,d0
1630653045027,27,-1,-1,-1,2848,d0
1630653045027,27,-1,-1,-1,2834,d0
1630653045027,27,-1,-1,-1,2818,d0
1630653045027,27,-1,-1,-1,2814,d0
1630653045027,27,-1,-1,-1,2812,d0
1630653045028,28,-1,-1,-1,2824,d0
1630653045028,28,-1,-1,-1,2834,d0
1630653045028,28,-1,-1,-1,2814,d0
1630653045028,28,-1,-1,-1,2842,d0
1630653045028,28,-1,-1,-1,2808,d0
1630653045028,28,-1,-1,-1,2772,d0
1630653045028,28,-1,-1,-1,2886,d0
1630653045028,28,-1,-1,-1,2804,d0
1630653045028,28,-1,-1,-1,2814,d0
1630653045028,28,-1,-1,-1,2714,d0
1630653045038,38,-1,-1,-1,2832,d0
1630653045038,38,-1,-1,-1,2804,d0
1630653045038,38,-1,-1,-1,2858,d0
1630653045038,38,-1,-1,-1,2842,d0
1630653045069,69,-1,-1,-1,2850,d0
1630653045069,69,-1,-1,-1,2818,d0
1630653045069,69,-1,-1,-1,2844,d0
1630653045069,69,-1,-1,-1,2752,d0
1630653045069,69,-1,-1,-1,2842,d0
1630653045069,69,-1,-1,-1,2894,d0
1630653045069,69,-1,-1,-1,2844,d0
1630653045070,70,-1,-1,-1,2890,d0
1630653045070,70,-1,-1,-1,2842,d0
1630653045070,70,-1,-1,-1,2818,d0
1630653045070,70,-1,-1,-1,2842,d0
1630653045070,70,-1,-1,-1,2814,d0
1630653045070,70,-1,-1,-1,2812,d0
1630653045070,70,-1,-1,-1,2946,d0
1630653045070,70,-1,-1,-1,2838,d0
1630653045070,70,-1,-1,-1,3132,d0
1630653045070,70,-1,-1,-1,2824,d0
1630653045082,82,-1,-1,-1,2844,d0
1630653045082,82,-1,-1,-1,2824,d0
1630653045082,82,-1,-1,-1,2808,d0
1630653045082,82,-1,-1,-1,2824,d0
1630653045082,82,-1,-1,-1,2808,d0
1630653045082,82,-1,-1,-1,2802,d0
1630653045082,82,-1,-1,-1,2812,d0
1630653045082,82,-1,-1,-1,3054,d0
1630653045083,83,-1,-1,-1,2812,d0
1630653045115,115,-1,-1,-1,3012,d0
1630653045115,115,-1,-1,-1,2842,d0
1630653045116,116,-1,-1,-1,2812,d0
1630653045116,116,-1,-1,-1,3204,d0
1630653045116,116,-1,-1,-1,2818,d0
1630653045116,116,-1,-1,-1,2838,d0
1630653045116,116,-1,-1,-1,2812,d0
1630653045116,116,-1,-1,-1,2832,d0
1630653045116,116,-1,-1,-1,2844,d0
1630653045116,116,-1,-1,-1,3120,d0
1630653045116,116,-1,-1,-1,2804,d0
1630653045116,116,-1,-1,-1,2868,d0
1630653045116,116,-1,-1,-1,2762,d0
1630653045116,116,-1,-1,-1,2818,d0
1630653045116,116,-1,-1,-1,2834,d0
1630653045116,116,-1,-1,-1,2844,d0
1630653045117,117,-1,-1,-1,2858,d0
1630653045126,126,-1,-1,-1,2828,d0
1630653045126,126,-1,-1,-1,2808,d0
1630653045126,126,-1,-1,-1,2906,d0
1630653045126,126,-1,-1,-1,3060,d0
1630653045155,155,-1,-1,-1,3146,d0
1630653045156,156,-1,-1,-1,2848,d0
1630653045156,156,-1,-1,-1,2814,d0
1630653045156,156,-1,-1,-1,2832,d0
1630653045156,156,-1,-1,-1,3044,d0
1630653045156,156,-1,-1,-1,2848,d0
1630653045156,156,-1,-1,-1,2814,d0
1630653045156,156,-1,-1,-1,2832,d0
1630653045156,156,-1,-1,-1,2838,d0
1630653045156,156,-1,-1,-1,2896,d0
1630653045156,156,-1,-1,-1,2986,d0
1630653045158,158,-1,-1,-1,2850,d0
1630653045158,158,-1,-1,-1,2858,d0
1630653045158,158,-1,-1,-1,2824,d0
1630653045158,158,-1,-1,-1,2832,d0
1630653045158,158,-1,-1,-1,2822,d0
1630653045158,158,-1,-1,-1,2834,d0
1630653045167,167,-1,-1,-1,2808,d0
1630653045167,167,-1,-1,-1,2814,d0
1630653045167,167,-1,-1,-1,2838,d0
1630653045167,167,-1,-1,-1,2814,d0
1630653045167,167,-1,-1,-1,2890,d0
1630653045200,200,-1,-1,-1,3100,d0
1630653045200,200,-1,-1,-1,2832,d0
1630653045201,201,-1,-1,-1,2808,d0
1630653045201,201,-1,-1,-1,2812,d0
1630653045201,201,-1,-1,-1,2796,d0
1630653045201,201,-1,-1,-1,2814,d0
1630653045201,201,-1,-1,-1,2824,d0
1630653045202,202,-1,-1,-1,2844,d0
1630653045202,202,-1,-1,-1,2832,d0
1630653045202,202,-1,-1,-1,2802,d0
1630653045202,202,-1,-1,-1,2848,d0
1630653045202,202,-1,-1,-1,2808,d0
1630653045202,202,-1,-1,-1,2814,d0
1630653045202,202,-1,-1,-1,2762,d0
1630653045203,203,-1,-1,-1,2838,d0
1630653045203,203,-1,-1,-1,2844,d0
1630653045203,203,-1,-1,-1,2832,d0
1630653045217,217,-1,-1,-1,2814,d0
1630653045217,217,-1,-1,-1,2850,d0
1630653045218,218,-1,-1,-1,2828,d0
1630653045218,218,-1,-1,-1,2818,d0
1630653045218,218,-1,-1,-1,2854,d0
1630653045218,218,-1,-1,-1,2848,d0
1630653045218,218,-1,-1,-1,2822,d0
1630653045218,218,-1,-1,-1,2812,d0
1630653045218,218,-1,-1,-1,2842,d0
1630653045251,251,-1,-1,-1,2960,d0
1630653045252,252,-1,-1,-1,2818,d0
1630653045252,252,-1,-1,-1,2838,d0
1630653045252,252,-1,-1,-1,2880,d0
1630653045252,252,-1,-1,-1,2808,d0
1630653045252,252,-1,-1,-1,2822,d0
1630653045252,252,-1,-1,-1,2834,d0
1630653045252,252,-1,-1,-1,2822,d0
1630653045252,252,-1,-1,-1,2834,d0
1630653045253,253,-1,-1,-1,2832,d0
1630653045253,253,-1,-1,-1,2834,d0
1630653045253,253,-1,-1,-1,3100,d0
1630653045253,253,-1,-1,-1,2808,d0
1630653045254,254,-1,-1,-1,2838,d0
1630653045254,254,-1,-1,-1,2952,d0
1630653045254,254,-1,-1,-1,2812,d0
1630653045254,254,-1,-1,-1,2824,d0
1630653045268,268,-1,-1,-1,3136,d0
1630653045268,268,-1,-1,-1,3022,d0
1630653045269,269,-1,-1,-1,2808,d0
1630653045269,269,-1,-1,-1,2844,d0
1630653045269,269,-1,-1,-1,2814,d0
1630653045269,269,-1,-1,-1,2808,d0
1630653045270,270,-1,-1,-1,2842,d0
1630653045270,270,-1,-1,-1,2832,d0
1630653045270,270,-1,-1,-1,2814,d0
1630653045305,305,-1,-1,-1,2838,d0
1630653045305,305,-1,-1,-1,2838,d0
1630653045305,305,-1,-1,-1,3060,d0
1630653045305,305,-1,-1,-1,2842,d0
1630653045305,305,-1,-1,-1,2824,d0
1630653045306,306,-1,-1,-1,2848,d0
1630653045306,306,-1,-1,-1,2814,d0
1630653045306,306,-1,-1,-1,2796,d0
1630653045306,306,-1,-1,-1,3022,d0
1630653045306,306,-1,-1,-1,2812,d0
1630653045306,306,-1,-1,-1,2834,d0
1630653045306,306,-1,-1,-1,2822,d0
1630653045307,307,-1,-1,-1,2838,d0
1630653045307,307,-1,-1,-1,2992,d0
1630653045307,307,-1,-1,-1,3084,d0
1630653045307,307,-1,-1,-1,2916,d0
1630653045307,307,-1,-1,-1,2848,d0
1630653045318,318,-1,-1,-1,2814,d0
1630653045318,318,-1,-1,-1,2818,d0
1630653045318,318,-1,-1,-1,2838,d0
1630653045318,318,-1,-1,-1,2824,d0
1630653045318,318,-1,-1,-1,2832,d0
1630653045319,319,-1,-1,-1,2756,d0
1630653045319,319,-1,-1,-1,2832,d0
1630653045319,319,-1,-1,-1,3008,d0
1630653045319,319,-1,-1,-1,2838,d0
1630653045351,351,-1,-1,-1,2952,d0
1630653045351,351,-1,-1,-1,2804,d0
1630653045351,351,-1,-1,-1,2838,d0
1630653045351,351,-1,-1,-1,2880,d0
1630653045351,351,-1,-1,-1,2886,d0
1630653045351,351,-1,-1,-1,2706,d0
1630653045351,351,-1,-1,-1,2838,d0
1630653045351,351,-1,-1,-1,2822,d0
1630653045352,352,-1,-1,-1,3126,d0
1630653045352,352,-1,-1,-1,2844,d0
1630653045352,352,-1,-1,-1,2804,d0
1630653045353,353,-1,-1,-1,2824,d0
1630653045353,353,-1,-1,-1,2824,d0
1630653045353,353,-1,-1,-1,2814,d0
1630653045353,353,-1,-1,-1,2812,d0
1630653045353,353,-1,-1,-1,2930,d0
1630653045353,353,-1,-1,-1,2814,d0
1630653045369,369,-1,-1,-1,2818,d0
1630653045369,369,-1,-1,-1,2844,d0
1630653045369,369,-1,-1,-1,2828,d0
1630653045369,369,-1,-1,-1,3094,d0
1630653045370,370,-1,-1,-1,2868,d0
1630653045370,370,-1,-1,-1,2828,d0
1630653045370,370,-1,-1,-1,2776,d0
1630653045370,370,-1,-1,-1,2834,d0
1630653045370,370,-1,-1,-1,2916,d0
1630653045397,397,-1,-1,-1,2818,d0
1630653045398,398,-1,-1,-1,2834,d0
1630653045398,398,-1,-1,-1,2760,d0
1630653045398,398,-1,-1,-1,2838,d0
1630653045398,398,-1,-1,-1,3100,d0
1630653045398,398,-1,-1,-1,2880,d0
1630653045398,398,-1,-1,-1,2818,d0
